top_level,n_videos_with_duration,total_hours,median_min,min_min,max_min
6_Months,1563,193.22180351055553,4.528225,0.16419166666666665,94.86200000000001
12_Months,1518,176.6803044711111,4.992083333333333,0.0008333333333333334,70.94333333333334
42_Months,1082,77.04677616833334,1.9073666666666667,0.03336666666666666,38.44674166666667
MAAP_Cropped_Videos,155,14.296590731666667,5.675948050000001,1.0082297166666667,6.823483883333334
Arm_Restraint_6mo,139,10.401342564444443,4.553333333333333,1.9083333333333334,6.139166666666667
Freeplay_6mo,129,21.862688647777777,10.4875,4.1852777833333334,12.298611116666667
